"species","latitude","longitude","date_obs","source"
"Libellula depressa",47.028875,8.310224,2024-05-14,"gbif"
"Libellula depressa",47.558512,9.106503,2024-05-13,"gbif"
"Libellula depressa",47.214619,8.978902,2024-05-10,"gbif"
"Libellula depressa",47.457288,9.172229,2024-05-19,"gbif"
"Libellula depressa",46.999113,6.733555,2024-05-28,"gbif"
"Libellula depressa",47.201972,7.721275,2024-05-22,"gbif"
"Libellula depressa",46.158569,6.020255,2024-05-19,"gbif"
"Libellula depressa",46.999113,6.733555,2024-05-28,"gbif"
"Libellula depressa",46.169065,6.048456,2024-05-25,"gbif"
"Libellula depressa",47.24337,7.33957,2024-05-10,"gbif"
"Libellula depressa",47.19806,7.73556,2024-05-22,"gbif"
"Libellula depressa",47.55098,8.73393,2024-05-26,"gbif"
"Libellula depressa",47.50807,8.53375,2024-05-20,"gbif"
"Libellula depressa",47.46246,8.59913,2024-05-20,"gbif"
"Libellula depressa",47.46618,8.13496,2024-05-19,"gbif"
"Libellula depressa",47.01843,7.27422,2024-05-28,"gbif"
"Libellula depressa",47.33336,7.40555,2024-05-28,"gbif"
"Libellula depressa",47.46246,8.59913,2024-05-20,"gbif"
"Libellula depressa",46.74662,8.12567,2024-05-26,"gbif"
"Libellula depressa",46.20035,6.04591,2024-05-20,"gbif"
"Libellula depressa",46.15538,6.04706,2024-05-30,"gbif"
"Libellula depressa",47.46789,7.14019,2024-05-08,"gbif"
"Libellula depressa",46.973,7.07724,2024-05-14,"gbif"
"Libellula depressa",47.01512,8.3264,2024-05-25,"gbif"
"Libellula depressa",46.20035,6.04591,2024-05-25,"gbif"
"Libellula depressa",46.79159,6.75102,2024-05-14,"gbif"
"Libellula depressa",47.36873,8.92811,2024-05-10,"gbif"
"Libellula depressa",46.20035,6.04591,2024-05-20,"gbif"
"Libellula depressa",46.20035,6.04591,2024-05-25,"gbif"
"Libellula depressa",46.29887,7.34131,2024-05-18,"gbif"
"Libellula depressa",47.42273,7.07418,2024-05-08,"gbif"
"Libellula depressa",46.01883,8.95589,2024-05-29,"gbif"
"Libellula depressa",46.1987,8.96091,2024-05-26,"gbif"
"Libellula depressa",47.51301,7.67094,2024-05-19,"gbif"
"Libellula depressa",46.20035,6.04591,2024-05-20,"gbif"
"Libellula depressa",46.20035,6.04591,2024-05-25,"gbif"
"Libellula depressa",46.15538,6.04706,2024-05-26,"gbif"
"Libellula depressa",46.88358,7.34024,2024-05-13,"gbif"
"Libellula depressa",46.20035,6.04591,2024-05-25,"gbif"
"Libellula depressa",46.20035,6.04591,2024-05-25,"gbif"
"Libellula depressa",47.4677,7.07387,2024-05-08,"gbif"
"Libellula depressa",46.88154,6.74987,2024-05-25,"gbif"
"Libellula depressa",47.41453,8.86313,2024-05-14,"gbif"
"Libellula depressa",46.88358,7.53703,2024-05-28,"gbif"
"Libellula depressa",46.88358,7.53703,2024-05-28,"gbif"
"Libellula depressa",47.37112,8.72955,2024-05-29,"gbif"
"Libellula depressa",47.19447,8.39536,2024-05-18,"gbif"
"Libellula depressa",47.37488,8.33239,2024-05-26,"gbif"
"Libellula depressa",47.37488,8.33239,2024-05-26,"gbif"
"Libellula depressa",46.11862,7.1476,2024-05-09,"gbif"
"Libellula depressa",46.11862,7.1476,2024-05-11,"gbif"
"Libellula depressa",47.37112,8.72955,2024-05-29,"gbif"
"Libellula depressa",47.6851,8.80381,2024-05-20,"gbif"
"Libellula depressa",47.32938,8.39778,2024-05-10,"gbif"
"Libellula depressa",47.37488,8.33239,2024-05-26,"gbif"
"Libellula depressa",47.37488,8.33239,2024-05-10,"gbif"
"Libellula depressa",47.37537,8.26619,2024-05-26,"gbif"
"Libellula depressa",47.28441,8.39697,2024-05-26,"gbif"
"Libellula depressa",47.37488,8.33239,2024-05-26,"gbif"
"Libellula depressa",47.37488,8.33239,2024-05-26,"gbif"
"Libellula depressa",47.01843,7.27422,2024-05-28,"gbif"
"Libellula depressa",47.40998,9.19431,2024-05-14,"gbif"
"Libellula depressa",47.40998,9.19431,2024-05-14,"gbif"
"Libellula depressa",47.37488,8.33239,2024-05-26,"gbif"
"Libellula depressa",47.01843,7.27422,2024-05-28,"gbif"
"Libellula depressa",46.11843,7.08292,2024-05-01,"gbif"
"Libellula depressa",46.11821,7.01824,2024-05-12,"gbif"
"Libellula depressa",47.19447,8.39536,2024-05-18,"gbif"
"Libellula depressa",47.37488,8.33239,2024-05-26,"gbif"
"Libellula depressa",47.37537,8.26619,2024-05-10,"gbif"
"Libellula depressa",47.37488,8.33239,2024-05-10,"gbif"
"Libellula depressa",46.29756,6.88707,2024-05-26,"gbif"
"Libellula depressa",46.97357,7.40578,2024-05-10,"gbif"
"Libellula depressa",47.23944,8.39616,2024-05-24,"gbif"
"Libellula depressa",47.19391,8.46133,2024-05-14,"gbif"
"Libellula depressa",47.19391,8.46133,2024-05-14,"gbif"
"Libellula depressa",47.19391,8.46133,2024-05-28,"gbif"
"Libellula depressa",47.19447,8.39536,2024-05-28,"gbif"
"Libellula depressa",46.79344,7.66784,2024-05-11,"gbif"
